seed,spec,kind,outcome,output,baseline,exception,mutated_input_b64
239081663,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
53710184,1-bit-flip,bitflip,incorrect,3070,3134,,SCVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
590620971,1-bit-flip,bitflip,incorrect,3130,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTYzODkw
525901256,1-bit-flip,bitflip,incorrect,3136,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZW5pbmUgZGF0YSAxMjM0NTY3ODkw
479341423,1-bit-flip,bitflip,incorrect,3133,3134,,SGVsbG8sIHRoaXIgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
299655412,1-bit-flip,bitflip,incorrect,3070,3134,,SGVsbG8sIHRoKXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
220106707,1-bit-flip,bitflip,incorrect,3142,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODk4
186699713,1-bit-flip,bitflip,incorrect,42915,3134,,SGVsbG8sIHRoaXMoaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
906070220,1-bit-flip,bitflip,incorrect,3130,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmEgZGF0YSAxMjM0NTY3ODkw
68252793,1-bit-flip,bitflip,incorrect,3130,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmEgZGF0YSAxMjM0NTY3ODkw
63989047,1-bit-flip,bitflip,incorrect,3135,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpb2UgZGF0YSAxMjM0NTY3ODkw
201209005,1-bit-flip,bitflip,incorrect,3132,3134,,SGVsbG8sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY1ODkw
469521477,1-bit-flip,bitflip,incorrect,3132,3134,,SGVsbG0sIHRoaXMgaXMgYmFzZWxpbmUgZGF0YSAxMjM0NTY3ODkw
499635468,1-bit-flip,bitflip,exception,None,3134,"Traceback (most recent call last):
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 150, in run_trials
    out = self.target_fn(injected_input)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/hafizzuddin/github_repo/security_portfolio/02-simulations/fault_injector.py"", line 31, in process_packet
    raise ValueError(""non-printable byte detected"")
ValueError: non-printable byte detected
",
